County Name,State,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Percent adults fully vaccinated against COVID-19 (as of 6/10/21)
Freestone County Texas,TEXAS,12.48%,18.8%,8.5%,
Houston County Texas,TEXAS,13.65%,20.6%,9.3%,
Brown County Texas,TEXAS,12.78%,19.01%,8.6%,
Edwards County Texas,TEXAS,10.7%,17.24%,7.05%,
Jim Wells County Texas,TEXAS,9.92%,16.03%,6.42%,
Hopkins County Texas,TEXAS,12.83%,19.37%,8.66%,
Calhoun County Texas,TEXAS,10.65%,16.63%,6.99%,
Dallas County Texas,TEXAS,10.78%,16.97%,7.04%,
Gonzales County Texas,TEXAS,11.34%,17.09%,7.62%,
Jasper County Texas,TEXAS,14.28%,21.69%,9.83%,
Bosque County Texas,TEXAS,12.48%,18.8%,8.5%,
Denton County Texas,TEXAS,9.49%,14.12%,6.17%,
Franklin County Texas,TEXAS,12.83%,19.37%,8.66%,
Carson County Texas,TEXAS,12.41%,18.83%,8.24%,
Childress County Texas,TEXAS,12.41%,18.83%,8.24%,
Delta County Texas,TEXAS,12.83%,19.37%,8.66%,
Fayette County Texas,TEXAS,12.4%,18.8%,8.27%,
Kimble County Texas,TEXAS,12.35%,18.73%,8.22%,
Glasscock County Texas,TEXAS,12.35%,18.73%,8.22%,
Caldwell County Texas,TEXAS,12.4%,18.8%,8.27%,
Ellis County Texas,TEXAS,11.47%,16.9%,7.66%,
Donley County Texas,TEXAS,12.41%,18.83%,8.24%,
Kaufman County Texas,TEXAS,12.36%,18.5%,8.39%,
Hamilton County Texas,TEXAS,12.64%,19.29%,8.47%,
Briscoe County Texas,TEXAS,12.41%,18.83%,8.24%,
Howard County Texas,TEXAS,12.35%,18.73%,8.22%,
Jack County Texas,TEXAS,12.93%,18.98%,8.7%,
Henderson County Texas,TEXAS,13.98%,21.05%,9.48%,
Frio County Texas,TEXAS,11.46%,17.4%,7.56%,
Jim Hogg County Texas,TEXAS,11.46%,18.67%,7.42%,
Loving County Texas,TEXAS,11.66%,17.65%,7.89%,
Bowie County Texas,TEXAS,13.56%,20.56%,9.26%,
Hall County Texas,TEXAS,12.41%,18.83%,8.24%,
Karnes County Texas,TEXAS,11.34%,17.09%,7.62%,
Lamar County Texas,TEXAS,12.83%,19.37%,8.66%,
Dimmit County Texas,TEXAS,10.7%,17.24%,7.05%,
Fort Bend County Texas,TEXAS,7.95%,12.28%,5.24%,
Cass County Texas,TEXAS,13.56%,20.56%,9.26%,
Hood County Texas,TEXAS,11.34%,16.89%,7.62%,
Duval County Texas,TEXAS,11.46%,18.67%,7.42%,
Gaines County Texas,TEXAS,11.66%,17.65%,7.89%,
Camp County Texas,TEXAS,12.85%,18.74%,8.74%,
Burnet County Texas,TEXAS,12.64%,19.29%,8.47%,
Goliad County Texas,TEXAS,11.34%,17.09%,7.62%,
Deaf Smith County Texas,TEXAS,12.41%,18.83%,8.24%,
Hudspeth County Texas,TEXAS,11.66%,17.65%,7.89%,
Hartley County Texas,TEXAS,12.41%,18.83%,8.24%,
Jackson County Texas,TEXAS,11.34%,17.09%,7.62%,
Dallam County Texas,TEXAS,12.41%,18.83%,8.24%,
El Paso County Texas,TEXAS,9.65%,15.77%,6.08%,
Kendall County Texas,TEXAS,10.08%,14.75%,6.69%,
McLennan County Texas,TEXAS,11.28%,17.8%,7.42%,
Brooks County Texas,TEXAS,9.92%,16.03%,6.42%,
King County Texas,TEXAS,11.43%,17.58%,7.66%,
Fannin County Texas,TEXAS,13.17%,19.45%,8.81%,
Hansford County Texas,TEXAS,12.41%,18.83%,8.24%,
Eastland County Texas,TEXAS,12.78%,19.01%,8.6%,
Castro County Texas,TEXAS,12.41%,18.83%,8.24%,
Jefferson County Texas,TEXAS,12.31%,19.13%,8.27%,
Brazoria County Texas,TEXAS,10.74%,16.08%,7.1%,
Lubbock County Texas,TEXAS,10.9%,17.14%,7.11%,
Hale County Texas,TEXAS,11.43%,17.58%,7.66%,
Hockley County Texas,TEXAS,11.43%,17.58%,7.66%,
Dickens County Texas,TEXAS,11.43%,17.58%,7.66%,
Cameron County Texas,TEXAS,10.5%,17.01%,6.83%,
Galveston County Texas,TEXAS,10.49%,15.74%,6.89%,
Foard County Texas,TEXAS,12.93%,18.98%,8.7%,
Hemphill County Texas,TEXAS,12.41%,18.83%,8.24%,
Jones County Texas,TEXAS,12.78%,19.01%,8.6%,
Knox County Texas,TEXAS,12.78%,19.01%,8.6%,
Hunt County Texas,TEXAS,11.22%,16.53%,7.43%,
Fond du Lac County Wisconsin,WISCONSIN,14.83%,19.55%,8.78%,48.1%
Racine County Wisconsin,WISCONSIN,16.03%,21.58%,9.64%,51.9%
Cabell County West Virginia,WEST VIRGINIA,10.27%,16.04%,7.89%,20.8%
Marquette County Wisconsin,WISCONSIN,16.15%,21.23%,9.76%,48.6%
Washburn County Wisconsin,WISCONSIN,15.28%,20.39%,9.06%,59.8%
Gilmer County West Virginia,WEST VIRGINIA,10.72%,17.1%,8.22%,40.1%
Winnebago County Wisconsin,WISCONSIN,15.69%,21.09%,9.38%,52%
Hardy County West Virginia,WEST VIRGINIA,10.21%,15.98%,7.83%,24%
Mingo County West Virginia,WEST VIRGINIA,11.63%,18.38%,9.03%,25%
Ritchie County West Virginia,WEST VIRGINIA,10.72%,17.1%,8.22%,19.6%
Monongalia County West Virginia,WEST VIRGINIA,8.62%,13.72%,6.53%,15%
Kanawha County West Virginia,WEST VIRGINIA,9.52%,15.01%,7.23%,30.7%
Taylor County Wisconsin,WISCONSIN,15.28%,20.39%,9.06%,33.6%
Carbon County Wyoming,WYOMING,22.51%,29.45%,16.4%,39.6%
Marshall County West Virginia,WEST VIRGINIA,8.97%,13.95%,6.8%,9.2%
Oneida County Wisconsin,WISCONSIN,15.18%,20.07%,9.06%,60.1%
Juneau County Wisconsin,WISCONSIN,15.31%,20.44%,9.18%,47%
Ohio County West Virginia,WEST VIRGINIA,8.97%,13.95%,6.8%,6.8%
Sauk County Wisconsin,WISCONSIN,15.46%,20.19%,9.24%,57.4%
Wood County Wisconsin,WISCONSIN,15.31%,20.44%,9.18%,54.2%
Lincoln County Wisconsin,WISCONSIN,15.18%,20.07%,9.06%,49.8%
Laramie County Wyoming,WYOMING,19.49%,26.73%,14.05%,44.1%
Menominee County Wisconsin,WISCONSIN,16.15%,21.23%,9.76%,65.9%
Moore County Texas,TEXAS,12.41%,18.83%,8.24%,
Daggett County Utah,UTAH,12.99%,17.66%,7.99%,47.1%
Caledonia County Vermont,VERMONT,4.17%,9.39%,2.24%,32.8%
Newton County Texas,TEXAS,14.28%,21.69%,9.83%,
Lamoille County Vermont,VERMONT,4.17%,9.39%,2.24%,54.8%
Orange County Texas,TEXAS,13.38%,19.49%,8.99%,
Campbell County Virginia,VIRGINIA,6.68%,14.05%,4.57%,15.6%
Somervell County Texas,TEXAS,11.34%,16.89%,7.62%,
Terry County Texas,TEXAS,11.43%,17.58%,7.66%,
Washington County Utah,UTAH,10.31%,13.61%,6.37%,34.5%
Windham County Vermont,VERMONT,3.83%,8.64%,2.07%,55.9%
Grand County Utah,UTAH,12.99%,17.66%,7.99%,47.8%
Trinity County Texas,TEXAS,13.65%,20.6%,9.3%,
Wise County Texas,TEXAS,12.93%,18.98%,8.7%,
Runnels County Texas,TEXAS,12.78%,19.01%,8.6%,
Tooele County Utah,UTAH,12.23%,16.07%,7.53%,38.5%
Orange County Vermont,VERMONT,3.83%,8.64%,2.07%,48.2%
Beaver County Utah,UTAH,11.75%,15.95%,7.26%,35.4%
Chesterfield County Virginia,VIRGINIA,5.43%,10.91%,3.67%,29.3%
Uvalde County Texas,TEXAS,10.7%,17.24%,7.05%,
Appomattox County Virginia,VIRGINIA,6.09%,11.91%,4.17%,1.6%
Davis County Utah,UTAH,10.1%,13.3%,6.11%,48%
Arlington County Virginia,VIRGINIA,3.59%,7.22%,2.39%,39.4%
Chittenden County Vermont,VERMONT,3.87%,8.78%,2.08%,64.4%
Morris County Texas,TEXAS,12.83%,19.37%,8.66%,
Willacy County Texas,TEXAS,9.92%,16.03%,6.42%,
Nolan County Texas,TEXAS,12.78%,19.01%,8.6%,
Upton County Texas,TEXAS,12.35%,18.73%,8.22%,
Essex County Vermont,VERMONT,4.17%,9.39%,2.24%,35.1%
Box Elder County Utah,UTAH,12.23%,16.07%,7.53%,37.5%
San Juan County Utah,UTAH,12.99%,17.66%,7.99%,40.8%
Rockwall County Texas,TEXAS,11.22%,16.53%,7.43%,
Wharton County Texas,TEXAS,11.14%,17.04%,7.38%,
Bland County Virginia,VIRGINIA,7.17%,14.36%,4.95%,7.2%
Garfield County Utah,UTAH,11.75%,15.95%,7.26%,41.2%
Walker County Texas,TEXAS,13.65%,20.6%,9.3%,
Millard County Utah,UTAH,11.75%,15.95%,7.26%,36.7%
Oldham County Texas,TEXAS,12.41%,18.83%,8.24%,
Throckmorton County Texas,TEXAS,12.78%,19.01%,8.6%,
Buckingham County Virginia,VIRGINIA,7.14%,14.74%,4.97%,9%
Wasatch County Utah,UTAH,12.99%,17.66%,7.99%,43.6%
Washington County Vermont,VERMONT,4.17%,9.39%,2.24%,41.9%
Winkler County Texas,TEXAS,11.66%,17.65%,7.89%,
Kane County Utah,UTAH,11.75%,15.95%,7.26%,42.5%
Alleghany County Virginia,VIRGINIA,5.74%,11.26%,3.94%,3.7%
Augusta County Virginia,VIRGINIA,6.78%,13.59%,4.67%,23%
Wilbarger County Texas,TEXAS,12.93%,18.98%,8.7%,
Albemarle County Virginia,VIRGINIA,5.5%,11.06%,3.78%,22.6%
Summit County Utah,UTAH,10.37%,14.17%,6.38%,66.9%
Motley County Texas,TEXAS,11.43%,17.58%,7.66%,
San Augustine County Texas,TEXAS,14.28%,21.69%,9.83%,
Clarke County Virginia,VIRGINIA,6.01%,11.73%,4.12%,46%
Victoria County Texas,TEXAS,10.65%,16.63%,6.99%,
Craig County Virginia,VIRGINIA,5.74%,11.26%,3.94%,1.7%
Stephens County Texas,TEXAS,12.78%,19.01%,8.6%,
Upshur County Texas,TEXAS,12.76%,19.01%,8.61%,
Franklin County Vermont,VERMONT,3.87%,8.78%,2.08%,33.2%
Robertson County Texas,TEXAS,12.25%,18.64%,8.27%,
Wheeler County Texas,TEXAS,12.41%,18.83%,8.24%,
Titus County Texas,TEXAS,12.83%,19.37%,8.66%,
Carroll County Virginia,VIRGINIA,7.17%,14.36%,4.95%,7.9%
Tarrant County Texas,TEXAS,10.69%,16.41%,7.01%,
Cache County Utah,UTAH,10.37%,14.17%,6.38%,41.9%
Addison County Vermont,VERMONT,4.14%,9.3%,2.23%,62.6%
Young County Texas,TEXAS,12.93%,18.98%,8.7%,
Wilson County Texas,TEXAS,11.34%,17.09%,7.62%,
Nueces County Texas,TEXAS,10.11%,15.89%,6.46%,
Morgan County Utah,UTAH,10.37%,14.17%,6.38%,43.4%
Sanpete County Utah,UTAH,11.75%,15.95%,7.26%,29.8%
Buchanan County Virginia,VIRGINIA,8.04%,15.96%,5.56%,30.5%
Emery County Utah,UTAH,12.99%,17.66%,7.99%,35.1%
Waller County Texas,TEXAS,11.14%,17.04%,7.38%,
Utah County Utah,UTAH,10.96%,14.73%,6.77%,40.8%
Amelia County Virginia,VIRGINIA,7.14%,14.74%,4.97%,1.8%
Bath County Virginia,VIRGINIA,6.78%,13.59%,4.67%,16.1%
Nacogdoches County Texas,TEXAS,12.5%,19.35%,8.36%,
Yoakum County Texas,TEXAS,11.43%,17.58%,7.66%,
Weber County Utah,UTAH,11.05%,14.81%,6.72%,42.1%
Rutland County Vermont,VERMONT,4.14%,9.3%,2.23%,62.4%
Charles City County Virginia,VIRGINIA,5.81%,11.4%,3.99%,3.2%
Swisher County Texas,TEXAS,12.41%,18.83%,8.24%,
Van Zandt County Texas,TEXAS,12.85%,18.74%,8.74%,
Culpeper County Virginia,VIRGINIA,6.12%,11.95%,4.17%,12%
Juab County Utah,UTAH,11.75%,15.95%,7.26%,32.2%
Taylor County Texas,TEXAS,11.78%,18.46%,7.76%,
Ward County Texas,TEXAS,11.66%,17.65%,7.89%,
Accomack County Virginia,VIRGINIA,6.13%,12.35%,4.24%,53.5%
Sabine County Texas,TEXAS,14.28%,21.69%,9.83%,
Palo Pinto County Texas,TEXAS,11.34%,16.89%,7.62%,
Wichita County Texas,TEXAS,12.96%,20.18%,8.55%,
Caroline County Virginia,VIRGINIA,6.17%,12.31%,4.21%,10.3%
Starr County Texas,TEXAS,11.46%,18.67%,7.42%,
Piute County Utah,UTAH,11.75%,15.95%,7.26%,29.5%
Carbon County Utah,UTAH,12.99%,17.66%,7.99%,35.6%
Sevier County Utah,UTAH,11.75%,15.95%,7.26%,34.8%
Sherman County Texas,TEXAS,12.41%,18.83%,8.24%,
Roberts County Texas,TEXAS,12.41%,18.83%,8.24%,
Tom Green County Texas,TEXAS,10.78%,16.75%,7.04%,
Bennington County Vermont,VERMONT,4.14%,9.3%,2.23%,38.5%
Brunswick County Virginia,VIRGINIA,7.14%,14.74%,4.97%,29.1%
Ochiltree County Texas,TEXAS,12.41%,18.83%,8.24%,
Williamson County Texas,TEXAS,9.46%,14.02%,6.1%,
Grand Isle County Vermont,VERMONT,3.87%,8.78%,2.08%,72.8%
Tyler County Texas,TEXAS,14.28%,21.69%,9.83%,
Zapata County Texas,TEXAS,11.46%,18.67%,7.42%,
Cumberland County Virginia,VIRGINIA,7.14%,14.74%,4.97%,6.1%
Charlotte County Virginia,VIRGINIA,7.14%,14.74%,4.97%,10.3%
Rusk County Texas,TEXAS,12.82%,19.18%,8.71%,
Terrell County Texas,TEXAS,11.66%,17.65%,7.89%,
Uintah County Utah,UTAH,12.99%,17.66%,7.99%,31.5%
Navarro County Texas,TEXAS,12.48%,18.8%,8.5%,
Windsor County Vermont,VERMONT,3.83%,8.64%,2.07%,48.3%
Bedford County Virginia,VIRGINIA,6.09%,11.91%,4.17%,19.7%
Wood County Texas,TEXAS,12.85%,18.74%,8.74%,
Iron County Utah,UTAH,11.75%,15.95%,7.26%,32.9%
Amherst County Virginia,VIRGINIA,6.09%,11.91%,4.17%,28.7%
Washington County Texas,TEXAS,12.25%,18.64%,8.27%,
Val Verde County Texas,TEXAS,10.7%,17.24%,7.05%,
Duchesne County Utah,UTAH,12.99%,17.66%,7.99%,35.4%
Wayne County Utah,UTAH,11.75%,15.95%,7.26%,45.4%
Orleans County Vermont,VERMONT,4.17%,9.39%,2.24%,51.4%
Zavala County Texas,TEXAS,10.7%,17.24%,7.05%,
Rich County Utah,UTAH,10.37%,14.17%,6.38%,40.2%
York County Virginia,VIRGINIA,4.81%,9.73%,3.28%,41.6%
Snohomish County Washington,WASHINGTON,7.06%,10.96%,5.15%,60.5%
Dickenson County Virginia,VIRGINIA,8.04%,15.96%,5.56%,30.4%
Floyd County Virginia,VIRGINIA,6.34%,13.16%,4.32%,4.5%
Gloucester County Virginia,VIRGINIA,6.13%,12.35%,4.24%,49.1%
Shenandoah County Virginia,VIRGINIA,6.76%,13.47%,4.63%,31.2%
Wahkiakum County Washington,WASHINGTON,8.33%,13.3%,6.06%,46.3%
Patrick County Virginia,VIRGINIA,6.72%,13.88%,4.61%,24%
Northampton County Virginia,VIRGINIA,6.13%,12.35%,4.24%,51%
Rockbridge County Virginia,VIRGINIA,6.78%,13.59%,4.67%,14.2%
Greensville County Virginia,VIRGINIA,6.82%,14.44%,4.69%,4.3%
Benton County Washington,WASHINGTON,7.51%,11.94%,5.46%,48.9%
Prince George County Virginia,VIRGINIA,6.82%,14.44%,4.69%,14.5%
Norfolk city Virginia,VIRGINIA,6.87%,15.28%,4.63%,38.4%
Smyth County Virginia,VIRGINIA,7.17%,14.36%,4.95%,27.3%
Emporia city Virginia,VIRGINIA,6.82%,14.44%,4.69%,
Hampton city Virginia,VIRGINIA,6.11%,13.28%,4.11%,35.7%
Barbour County West Virginia,WEST VIRGINIA,10.21%,15.98%,7.83%,4%
Surry County Virginia,VIRGINIA,6.82%,14.44%,4.69%,33.4%
Manassas city Virginia,VIRGINIA,5.69%,11.18%,3.83%,2.9%
Pend Oreille County Washington,WASHINGTON,8.94%,14.16%,6.54%,33%
Douglas County Washington,WASHINGTON,7.53%,12.15%,5.48%,54.1%
Dinwiddie County Virginia,VIRGINIA,6.82%,14.44%,4.69%,25.3%
Fluvanna County Virginia,VIRGINIA,6.11%,12.13%,4.23%,40.5%
Stafford County Virginia,VIRGINIA,5.76%,11.74%,3.95%,34%
Ferry County Washington,WASHINGTON,8.94%,14.16%,6.54%,41.6%
Harrisonburg city Virginia,VIRGINIA,6.37%,13.17%,4.41%,4.4%
Northumberland County Virginia,VIRGINIA,6.13%,12.35%,4.24%,23.8%
Alexandria city Virginia,VIRGINIA,4.35%,8.89%,2.88%,27.8%
Skamania County Washington,WASHINGTON,8.53%,13.44%,6.23%,35.2%
Middlesex County Virginia,VIRGINIA,6.13%,12.35%,4.24%,50.8%
Newport News city Virginia,VIRGINIA,6.85%,14.92%,4.56%,30.5%
Washington County Virginia,VIRGINIA,7.17%,14.36%,4.95%,36.8%
Portsmouth city Virginia,VIRGINIA,6.51%,14.02%,4.36%,70.5%
Giles County Virginia,VIRGINIA,6.34%,13.16%,4.32%,17.2%
Rockingham County Virginia,VIRGINIA,6.37%,13.17%,4.41%,13%
Thurston County Washington,WASHINGTON,7.55%,11.87%,5.45%,54.9%
Asotin County Washington,WASHINGTON,7.12%,12.09%,5.17%,35%
King County Washington,WASHINGTON,5.56%,8.71%,4.05%,70.5%
Greene County Virginia,VIRGINIA,5.09%,10.36%,3.49%,2.6%
Lincoln County Washington,WASHINGTON,7.12%,12.09%,5.17%,45.6%
Page County Virginia,VIRGINIA,6.76%,13.47%,4.63%,10.7%
Pierce County Washington,WASHINGTON,7.87%,12.42%,5.73%,51%
Lewis County Washington,WASHINGTON,8.53%,13.44%,6.23%,41.7%
Essex County Virginia,VIRGINIA,6.13%,12.35%,4.24%,13.4%
Mecklenburg County Virginia,VIRGINIA,7.14%,14.74%,4.97%,11.1%
Montgomery County Virginia,VIRGINIA,6.34%,13.16%,4.32%,24.7%
Berkeley County West Virginia,WEST VIRGINIA,9.39%,14.43%,7.12%,30.4%
Prince Edward County Virginia,VIRGINIA,7.14%,14.74%,4.97%,2.6%
Warren County Virginia,VIRGINIA,6.76%,13.47%,4.63%,4.5%
Boone County West Virginia,WEST VIRGINIA,10.32%,15.76%,7.96%,32.1%
Powhatan County Virginia,VIRGINIA,5.81%,11.4%,3.99%,1.8%
Spotsylvania County Virginia,VIRGINIA,6.17%,12.31%,4.21%,11.8%
Franklin County Washington,WASHINGTON,8.01%,12.8%,5.88%,41.6%
Bristol city Virginia,VIRGINIA,7.17%,14.36%,4.95%,49.4%
Grayson County Virginia,VIRGINIA,7.17%,14.36%,4.95%,20.3%
Russell County Virginia,VIRGINIA,8.04%,15.96%,5.56%,28.9%
Whatcom County Washington,WASHINGTON,7.48%,11.79%,5.36%,66.4%
Rappahannock County Virginia,VIRGINIA,6.12%,11.95%,4.17%,23.4%
Hopewell city Virginia,VIRGINIA,6.82%,14.44%,4.69%,
Clark County Washington,WASHINGTON,7.63%,11.85%,5.56%,55.1%
Covington city Virginia,VIRGINIA,5.74%,11.26%,3.94%,
Franklin County Virginia,VIRGINIA,5.74%,11.26%,3.94%,23.6%
Nottoway County Virginia,VIRGINIA,7.14%,14.74%,4.97%,15.5%
Stevens County Washington,WASHINGTON,8.94%,14.16%,6.54%,32.4%
Martinsville city Virginia,VIRGINIA,6.72%,13.88%,4.61%,0.2%
Westmoreland County Virginia,VIRGINIA,6.13%,12.35%,4.24%,14.4%
Adams County Washington,WASHINGTON,7.12%,12.09%,5.17%,50.8%
Mason County Washington,WASHINGTON,8.21%,12.8%,5.99%,49.7%
San Juan County Washington,WASHINGTON,7.17%,11.43%,5.16%,73.5%
Fairfax County Virginia,VIRGINIA,3.71%,7.43%,2.56%,54.1%
Falls Church city Virginia,VIRGINIA,2.69%,4.99%,1.86%,7.1%
Nelson County Virginia,VIRGINIA,6.11%,12.13%,4.23%,24.2%
Clallam County Washington,WASHINGTON,7.23%,11.45%,5.24%,60.6%
Jefferson County Washington,WASHINGTON,7.23%,11.45%,5.24%,70%
Whitman County Washington,WASHINGTON,7.12%,12.09%,5.17%,37.6%
Pulaski County Virginia,VIRGINIA,6.34%,13.16%,4.32%,17.4%
Tazewell County Virginia,VIRGINIA,8.04%,15.96%,5.56%,27%
Braxton County West Virginia,WEST VIRGINIA,10.72%,17.1%,8.22%,11.4%
Richmond County Virginia,VIRGINIA,6.13%,12.35%,4.24%,8.7%
Wise County Virginia,VIRGINIA,8.04%,15.96%,5.56%,21.8%
Hanover County Virginia,VIRGINIA,5.81%,11.4%,3.99%,30.4%
Klickitat County Washington,WASHINGTON,8.53%,13.44%,6.23%,45.2%
Mathews County Virginia,VIRGINIA,6.13%,12.35%,4.24%,47.6%
Goochland County Virginia,VIRGINIA,5.81%,11.4%,3.99%,38.9%
Buena Vista city Virginia,VIRGINIA,6.78%,13.59%,4.67%,
Walla Walla County Washington,WASHINGTON,7.88%,12.45%,5.82%,54.9%
Pittsylvania County Virginia,VIRGINIA,6.72%,13.88%,4.61%,20%
Lexington city Virginia,VIRGINIA,6.78%,13.59%,4.67%,
Orange County Virginia,VIRGINIA,6.12%,11.95%,4.17%,5.7%
Scott County Virginia,VIRGINIA,8.04%,15.96%,5.56%,32.4%
Columbia County Washington,WASHINGTON,7.12%,12.09%,5.17%,37.9%
Spokane County Washington,WASHINGTON,8.37%,13.33%,6.03%,51.1%
Frederick County Virginia,VIRGINIA,6.01%,11.73%,4.12%,18%
Garfield County Washington,WASHINGTON,7.12%,12.09%,5.17%,27.2%
Southampton County Virginia,VIRGINIA,6.38%,13.01%,4.34%,7%
Brooke County West Virginia,WEST VIRGINIA,8.97%,13.95%,6.8%,18.5%
New Kent County Virginia,VIRGINIA,5.81%,11.4%,3.99%,22.8%
Yakima County Washington,WASHINGTON,8.14%,13.45%,5.88%,54.1%
Roanoke County Virginia,VIRGINIA,5.87%,11.62%,4.01%,1.8%
Winchester city Virginia,VIRGINIA,6.01%,11.73%,4.12%,3.3%
Fauquier County Virginia,VIRGINIA,6.12%,11.95%,4.17%,35.3%
Kittitas County Washington,WASHINGTON,8.49%,13.76%,6.21%,47.5%
Skagit County Washington,WASHINGTON,7.17%,11.43%,5.16%,58.2%
Okanogan County Washington,WASHINGTON,8.94%,14.16%,6.54%,62.2%
Prince William County Virginia,VIRGINIA,5.06%,10.04%,3.45%,53.8%
Halifax County Virginia,VIRGINIA,7.14%,14.74%,4.97%,17.1%
Wythe County Virginia,VIRGINIA,7.17%,14.36%,4.95%,20.4%
Sussex County Virginia,VIRGINIA,6.82%,14.44%,4.69%,9.4%
Manassas Park city Virginia,VIRGINIA,5.69%,11.18%,3.83%,1.2%
Chelan County Washington,WASHINGTON,7.53%,12.15%,5.48%,61.5%
Island County Washington,WASHINGTON,7.17%,11.43%,5.16%,54.1%
Galax city Virginia,VIRGINIA,7.17%,14.36%,4.95%,
Lincoln County Wyoming,WYOMING,20.5%,26.71%,14.72%,34.6%
Washington County Wisconsin,WISCONSIN,12.96%,16.53%,7.55%,51%
Calhoun County West Virginia,WEST VIRGINIA,10.72%,17.1%,8.22%,10.9%
Iowa County Wisconsin,WISCONSIN,15.81%,21.01%,9.48%,65.8%
Grant County West Virginia,WEST VIRGINIA,10.21%,15.98%,7.83%,13.6%
Waukesha County Wisconsin,WISCONSIN,11.98%,15.36%,7.1%,61.5%
Manitowoc County Wisconsin,WISCONSIN,15.08%,20.03%,8.88%,53.4%
Richland County Wisconsin,WISCONSIN,15.81%,21.01%,9.48%,55.5%
Nicholas County West Virginia,WEST VIRGINIA,10.42%,16.37%,7.98%,31.5%
Roane County West Virginia,WEST VIRGINIA,10.72%,17.1%,8.22%,3.3%
Forest County Wisconsin,WISCONSIN,15.18%,20.07%,9.06%,54.7%
Mason County West Virginia,WEST VIRGINIA,10.27%,16.04%,7.89%,25.5%
Preston County West Virginia,WEST VIRGINIA,8.62%,13.72%,6.53%,34.1%
Oconto County Wisconsin,WISCONSIN,15.13%,19.84%,8.98%,48.2%
Douglas County Wisconsin,WISCONSIN,15.28%,20.39%,9.06%,37.1%
Pierce County Wisconsin,WISCONSIN,16.11%,21.26%,9.59%,40.9%
Hancock County West Virginia,WEST VIRGINIA,8.97%,13.95%,6.8%,19.2%
Bayfield County Wisconsin,WISCONSIN,15.28%,20.39%,9.06%,75%
Sheboygan County Wisconsin,WISCONSIN,14.97%,19.9%,8.88%,54%
Campbell County Wyoming,WYOMING,22.83%,29.43%,16.87%,23.7%
Jefferson County Wisconsin,WISCONSIN,15.66%,20.43%,9.28%,50.1%
Pepin County Wisconsin,WISCONSIN,16.11%,21.26%,9.59%,47.4%
Jefferson County West Virginia,WEST VIRGINIA,9.39%,14.43%,7.12%,30.6%
Goshen County Wyoming,WYOMING,22.83%,29.43%,16.87%,34.4%
Tucker County West Virginia,WEST VIRGINIA,10.21%,15.98%,7.83%,29%
Green Lake County Wisconsin,WISCONSIN,16.15%,21.23%,9.76%,49.9%
Fremont County Wyoming,WYOMING,21.84%,28.43%,15.84%,49.5%
St. Croix County Wisconsin,WISCONSIN,14.26%,18.92%,8.53%,44.7%
Clay County West Virginia,WEST VIRGINIA,9.52%,15.01%,7.23%,20.9%
Pocahontas County West Virginia,WEST VIRGINIA,10.42%,16.37%,7.98%,25.1%
Putnam County West Virginia,WEST VIRGINIA,10.32%,15.76%,7.96%,15.2%
Webster County West Virginia,WEST VIRGINIA,10.42%,16.37%,7.98%,30.3%
Door County Wisconsin,WISCONSIN,15.13%,19.84%,8.98%,71.9%
Logan County West Virginia,WEST VIRGINIA,11.63%,18.38%,9.03%,31.2%
Mercer County West Virginia,WEST VIRGINIA,10.47%,16.44%,8.01%,39.7%
Wayne County West Virginia,WEST VIRGINIA,10.27%,16.04%,7.89%,31.6%
Clark County Wisconsin,WISCONSIN,16.46%,21.64%,10.04%,37.1%
Waupaca County Wisconsin,WISCONSIN,16.15%,21.23%,9.76%,46.5%
Morgan County West Virginia,WEST VIRGINIA,9.39%,14.43%,7.12%,2%
Grant County Wisconsin,WISCONSIN,15.81%,21.01%,9.48%,51.7%
Jackson County West Virginia,WEST VIRGINIA,10.72%,17.1%,8.22%,16.5%
Brown County Wisconsin,WISCONSIN,14.8%,19.87%,8.68%,57.4%
Wyoming County West Virginia,WEST VIRGINIA,11.63%,18.38%,9.03%,37.9%
Marathon County Wisconsin,WISCONSIN,14.12%,18.82%,8.41%,52.2%
Vilas County Wisconsin,WISCONSIN,15.18%,20.07%,9.06%,58.2%
La Crosse County Wisconsin,WISCONSIN,14.54%,20.03%,8.55%,61.4%
Jackson County Wisconsin,WISCONSIN,16.11%,21.26%,9.59%,45.5%
Greenbrier County West Virginia,WEST VIRGINIA,10.42%,16.37%,7.98%,35.5%
Summers County West Virginia,WEST VIRGINIA,10.42%,16.37%,7.98%,13.5%
Polk County Wisconsin,WISCONSIN,16.46%,21.64%,10.04%,47.6%
Rock County Wisconsin,WISCONSIN,15.38%,20.97%,9.15%,60.6%
Monroe County Wisconsin,WISCONSIN,16.11%,21.26%,9.59%,49.2%
Dunn County Wisconsin,WISCONSIN,14.26%,18.92%,8.53%,43.5%
Shawano County Wisconsin,WISCONSIN,16.15%,21.23%,9.76%,47.5%
Hot Springs County Wyoming,WYOMING,21.84%,28.43%,15.84%,43.5%
Doddridge County West Virginia,WEST VIRGINIA,9.91%,15.35%,7.55%,2.6%
Kewaunee County Wisconsin,WISCONSIN,15.08%,20.03%,8.88%,48.4%
Raleigh County West Virginia,WEST VIRGINIA,10.47%,16.44%,8.01%,21.2%
Vernon County Wisconsin,WISCONSIN,16.11%,21.26%,9.59%,54.4%
